RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1
451,0,0,0,3,1,3,0,3,0,1,1,4,1,17
452,0,0,0,0,0,1,0,1,1,1,0,1,1,6
453,0,0,0,1,0,0,1,1,1,1,0,2,0,7
454,0,0,0,1,1,1,0,1,1,0,0,1,0,6
461,0,0,0,0,0,2,0,0,0,1,0,1,0,4
462,0,0,0,0,0,0,0,0,0,0,1,3,0,4
463,0,0,0,0,1,0,2,3,0,0,0,2,0,8
464,0,0,0,0,0,1,0,2,0,0,0,2,1,6
470,0,0,0,0,0,0,0,0,0,0,0,1,0,1
471,0,0,0,0,2,0,0,2,0,0,0,1,0,5
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,2,1,0,0,0,0,3
474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,0,1,0,0,0,1,2,0,0,0,4
482,0,0,0,0,0,0,0,1,0,0,0,0,0,1
483,0,0,0,0,0,0,0,0,0,0,0,2,0,2
491,0,0,0,0,0,2,1,1,3,1,0,1,0,9
493,0,0,0,0,0,1,0,0,1,0,0,0,0,2
501,0,0,0,0,3,3,3,1,3,5,0,1,0,19
502,0,0,0,0,2,1,0,1,0,1,2,2,0,9
503,0,0,0,0,0,-1,2,1,0,0,2,2,0,6
511,0,0,0,1,4,4,1,3,1,2,0,6,0,22
512,0,0,0,1,0,3,4,3,2,0,0,2,0,15
521,0,0,1,1,0,3,0,3,0,3,0,0,0,11
522,0,0,0,0,0,2,0,1,0,2,0,3,0,8
523,0,0,0,0,0,3,0,1,1,5,0,3,0,13
524,0,0,0,1,0,1,0,4,3,3,0,5,1,18
531,0,0,0,0,0,1,0,2,0,1,0,1,0,5
532,0,0,0,0,0,0,0,4,1,1,2,0,0,8
533,0,0,0,0,1,1,0,2,1,1,0,1,0,7
534,0,0,0,1,0,0,0,1,1,0,0,1,0,4
541,0,0,1,0,0,0,1,2,0,0,0,0,0,4
542,0,0,0,1,1,2,0,0,0,0,0,1,0,5
543,0,0,0,0,0,0,0,1,1,0,1,0,0,3
544,0,0,0,0,0,0,3,0,2,0,0,0,0,5
545,0,0,1,0,0,0,1,0,0,0,1,0,0,3
546,0,0,0,1,0,1,0,2,0,0,1,0,0,5
551,0,0,0,0,0,1,0,1,0,0,0,0,0,2
552,0,0,0,0,0,0,0,1,0,0,0,0,0,1
553,0,0,0,0,0,4,0,1,0,3,0,0,0,8
554,0,0,0,0,0,2,3,1,-1,0,0,1,0,6
561,0,0,0,1,1,1,1,0,0,0,0,3,0,7
562,0,0,0,0,0,3,1,1,1,1,1,1,0,9
563,0,0,0,0,0,2,0,0,0,0,0,1,0,3
571,0,0,0,0,0,2,1,4,0,1,2,1,0,11
572,0,0,0,0,0,1,0,2,4,1,0,1,0,9
581,0,0,0,1,0,2,0,0,1,0,2,0,0,6
582,0,0,0,0,1,1,0,1,0,1,0,1,0,5
583,0,0,0,0,1,0,1,0,4,3,2,0,0,11
584,0,0,0,0,0,0,0,0,0,1,0,0,0,1
591,0,0,0,0,0,0,2,1,0,0,0,2,0,5
592,0,0,0,1,0,1,0,1,0,0,0,0,0,3
593,0,0,0,0,0,0,0,0,0,2,0,0,0,2
595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0,1,0,0,1,0,0,2
601,0,0,0,0,0,1,0,0,0,0,0,1,0,2
602,0,0,1,1,0,5,1,2,1,3,0,3,0,17
603,0,0,0,0,0,0,0,0,0,1,0,0,0,1
604,0,0,0,1,0,0,1,1,0,0,0,0,0,3
610,0,0,0,0,0,0,0,0,1,0,1,0,0,2
621,0,0,0,0,3,0,2,0,3,0,0,0,0,8
622,0,0,0,0,0,1,0,1,0,0,0,0,0,2
623,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0,0,1,0,1
625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0,0,0,1,0,0,0,1
632,0,0,0,0,0,1,0,1,0,0,0,0,0,2
633,0,0,0,0,0,0,0,0,1,0,0,0,0,1
634,0,0,0,3,0,3,0,1,1,1,0,0,0,9
635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,0,0,0,0,0,1,0,0,0,0,0,1,0,2
642,0,0,0,0,0,0,0,0,0,0,1,0,0,1
643,0,0,0,0,0,1,0,1,0,1,0,0,0,3
644,0,0,0,0,0,0,0,2,2,1,0,0,2,7
645,0,0,0,0,0,0,0,0,0,0,0,1,0,1
646,0,0,0,0,1,0,2,1,1,0,0,0,0,5
651,0,0,0,0,1,2,0,2,3,0,1,1,0,10
652,0,0,0,0,0,0,0,0,0,1,0,0,0,1
653,0,0,0,1,0,0,0,2,2,3,0,1,0,9
654,0,0,0,0,0,2,0,0,1,4,0,2,0,9
655,0,0,0,1,0,0,1,0,0,0,0,0,0,2
661,0,0,0,0,0,0,0,0,1,0,0,0,0,1
662,0,0,0,0,0,2,0,0,1,2,0,0,0,5
663,0,0,1,0,0,2,2,0,3,2,0,0,0,10
664,0,0,0,0,0,0,0,0,0,1,0,0,0,1
665,0,0,0,0,0,1,0,0,0,0,1,1,0,3
671,0,0,0,0,1,1,0,5,0,2,0,0,0,9
672,0,0,0,0,0,0,0,3,1,0,0,0,0,4
674,0,0,0,0,01,02,01,0,0,0,0,0,0,04
675,0,0,0,01,0,0,0,02,0,01,0,0,0,04
676,0,0,0,0,0,0,0,02,02,0,0,0,0,04
681,0,0,0,0,0,0,0,02,0,0,0,0,0,02
682,0,0,0,0,0,01,0,01,0,0,0,0,0,02
683,0,0,0,0,0,01,0,02,0,0,0,0,0,03
684,0,0,0,0,0,0,0,01,0,0,0,01,0,02
685,0,0,0,0,0,0,0,0,01,0,0,0,0,01
686,0,0,0,0,0,0,0,01,01,0,0,0,0,02
687,0,0,0,0,0,0,0,01,01,01,0,-1,0,02
688,0,0,0,0,0,0,0,0,0,0,0,0,0,00
689,0,0,0,0,0,0,0,01,0,01,0,0,0,02
691,0,0,0,0,0,0,0,0,0,0,0,0,0,00
692,0,0,0,0,0,03,04,02,01,0,0,01,0,011
693,0,0,0,0,0,0,0,0,0,0,0,0,0,00
